Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

value,metric
1598,RegistryEvent (Key and Value Rename)
1591,The log file was cleared
1493,Boot Configuration Data loaded.
1484,R296_13_Регистрация DLL с помощью regsvr32.exe из файла с иным расширением
1444,A primary token was assigned to process.
1411,R296_06_Подозрительный родительский процесс у regsvr32.exe
1365,R110_01_Использование подозрительных опций в командах PowerShell
1267,R295_01_Манипуляции с реестром непривилегированным процессом (reg)
1249,R291_03_Вызов внешних ресурсов для системных приложений Windows (runll32)
1101,A new service was installed in the system
1096,Resource attributes of the object were changed.
1059,"R283_01_Выполнение кода через приложения, использующие Chromium"
1056,An attempt was made to register a security event source.
1050,An attempt was made to unregister a security event source.
990,Security policy in the group policy objects has been applied successfully.
976,Кэш входов
907,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
803,A session was disconnected from a Window Station.
689,Обновление для всех Win
679,Обновление
662,R288_02_Исполнение файла с неисполняемым расширением
649,A session was reconnected to a Window Station.
625,A cryptographic function provider operation was attempted.
518,Резервное копирование
489,Драйвер
470,R221_Сбор информации о группах
470,R221_02_Обнаружение сбора информации о локальных группах Windows с помощью PowerShell
462,Setting database option
458,Database backed up
453,A cryptographic function operation was attempted.
449,%1
440,Starting up database
405,Read-only user password to expire shortly / Read-only user password expired
391,License
370,R110_04_Сокрытие окна выполнения PowerShell скрипта
345,Отсутствует
345,Code integrity determined that the image hash of a file is not valid
312,"R287_01_Выполнение кода PowerShell, записанного в файле"
312,R110_05_Использование подозрительных опций в командах PowerShell (cmd)
288,Error Message
288,File_Threat_Protection
282,Device_Control
251,Web_Threat_Protection
247,R081_02_KSC. Повторное заражение ВПО
227,Removable_Drives_Scan
213,Установка или обновление драйверов устройств.
206,Login failed for user
204,"R287_Выполнение кода скрипта, записанного в файле или ключе реестра"
202,R302_Манипуляции с атрибутами файла
199,UNS
194,Behavior_Detection
194,Network_Threat_Protection
193,R099_Манипуляции с задачами по расписанию
190,R282_02_Остановка сервиса через CLI (net.exe)
182,R280_03_Манипуляции над службами Windows с помощью утилиты net.exe
173,Firewall_Management
161,A cryptographic self test was performed.
156,A directory service object was modified.
155,R222_Сбор информации о сетевых папках
154,R302_03_Подозрительные изменения разрешений и атрибутов с использованием инструментов
145,R222_01_Сбор информации о сетевых папках через PowerShell
140,A rule has been ignored because its major version number was not recognized by Windows Firewall.
132,R099_05_Отключение запуска задачи по расписанию
131,R071_Получен доступ к ADMIN$
127,R280_Изменение параметров сервиса Windows
124,Network Policy Server granted full access to a user because the host met the defined health policy.
123,Network Policy Server granted access to a user
116,Проверка важных областей
114,The Windows Filtering Platform blocked a packet.
111,Выполнение службы
110,R282_Остановка сервиса через CLI
102,R295_Манипуляции с системой непривилегированным процессом
102,Data Recovery Agent group policy for Encrypting File System (EFS) has changed. The new changes have been applied.
102,The event logging service encountered an error while processing an incoming event published from %1
100,R224_Сбор информации о системе
99,Установка драйвера
96,Server is listening
93,WmiEvent (WmiEventFilter activity detected)
92,События диагностики исчерпания ресурсов
92,This instance of SQL Server has been using a process ID
92,R302_01_Установка атрибута файла с целью его сокрытия
91,ProcessAccess
90,Installation or update of device drivers.
88,HTTP Configuration Property Trace Task
87,R290_Запуск скриптов из общедоступной директории
86,R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей
86,R109_01_Использование известных зловредных фреймворков для эксплуатации уязвимостей
82,Service endpoint is in disabled or stopped state
82,Server local connection provider is ready to accept connection
81,R105_04_Подозрительные PowerShell команды. Подозрение на обфускацию

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

tenantID,createdAt,name,priority,status,id,severity,tenantName
17f758ed-acec-40dd-9022-cec548a56ed3,2025-04-14T10:24:47+03:00,R105_Подозрение на обфускацию кода с использованием спецсимволов,2,1,INC-395,Medium,[ТД] Электропривод
17f758ed-acec-40dd-9022-cec548a56ed3,2025-04-01T13:53:06+03:00,R295_Манипуляции с системой непривилегированным процессом,3,1,INC-355,High,[ТД] Электропривод

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

criticality,frequency,tenantID,tenantName,id,displayName
1,5,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,22ded160-4a63-41ec-9219-cd8f6626c6ed,IT50
