Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:38+03:00
[ТД] Искра

tenantID,tenantName,id,displayName,criticality,frequency
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9edb5ae0-d80c-4304-9751-4abb353c5b89,OIB-2,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ab1f8094-7c77-49ff-a563-6e041086ab28,OIB-3,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,f10103b4-6f5c-4593-afbb-d88f1828aa3e,OIB-5,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ee5acb5c-65f3-443d-acc3-d12df76b03ae,OK-12VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,80aee78f-cf14-426d-bb1a-1aa09902869e,OK-13VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,5a895780-254b-4973-b6b5-24937237c8d9,OK-2,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,6d5c5111-80e8-45ca-b90e-d00b23f14ffd,OK-3,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,6ec7297f-fd2d-4c5b-939b-543bca3e0d86,OK-9,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,70623597-4083-4d9d-b25f-42f9f3dc21f3,OLSIE-BOOS-1,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,309bf6fb-fd8b-4e44-a0bf-8c6f2332053e,OM-7VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,233ddebb-8702-4d5d-871b-acc4ad4ef055,OMOIS-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3afd56ab-beee-4ff4-8dd9-d1b0405b9322,OMOIS-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,5ad69a34-41c0-491a-9202-2da5fe3b9a07,OMTS-H-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,74a5518e-dbfa-4c37-9486-aac955af5740,OMTS-H-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,d7e508b2-3b7d-4f07-8c2d-aaba4bcc42b8,OMTS-K-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,dedee8f0-28eb-4a5d-b756-3016cddf9374,OMTS-K-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,72b16f15-e2d4-49ca-887a-1ac70631c787,OMTS-K-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,da70f244-01f6-4d6e-84d2-4754ef6b48d8,OMTS-M-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,5a6a6f02-e065-43af-82f1-9091eb86f281,OMTS-M-5VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,7c2d86cc-1063-4125-85ee-bf27bcca9ae2,OMTS-O-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,bf45f40a-49ea-4f8b-8f13-46f3207ab810,OMTS-O-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,a6cb2ed5-8436-476d-a2e4-8613b2d46cfa,OMTS-O-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,dc00f53c-0218-43aa-8f33-93aec68924f9,OMTS-O-7VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,87bd102f-446b-473e-ac53-a67343e96c61,OMTS-O-8VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3ad2ff8b-aef1-4f14-84e8-acfb1dfeb0b0,OMTS-P-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,cfe35fcd-bb3f-43cf-9163-62c841a46478,OMTS-P-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9e4a56e1-0e26-45fb-b50c-eb1d13386d7a,OMTS-V-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ca091ccc-edbc-4d6d-b191-8d1885487fc9,OMTS-V-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,3477e5ab-0f8f-4524-bca6-34b6f05aae80,ONR-530-1,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,e5e23d08-dead-417e-bbb2-0a4389cd1cfa,OPB-10VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,f55a2c37-e09b-47dc-8938-751133c990fd,OPB-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ddb2b440-fcf6-4942-9477-c6576338aeaf,OPB-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,df4cca43-a10c-4c9a-923b-9712b1b2eb0d,OPB-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,a4f5681b-1505-4a64-b8ef-58261a83620b,ORD-4,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,a888f73c-1f42-40d6-bd39-288a1beb7a4e,OS-VR-5,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,2f991a8e-acc5-406d-b5dd-ba07dce9dd81,OSIR-10VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,a218217e-3a2d-4e83-b290-bd193f0f5c5f,OTB-1VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,fedec65c-89e3-4ac7-8550-b8fa3d82672f,OTB-2VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ad880510-9f45-4a05-8097-4cccdc29ab7a,OTB-3VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,9c7b16d2-8240-4f48-836d-624f48c51e2a,OTB-4VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,96e0c6a3-4318-48a3-985a-1b37ccb69865,OTB-5VM,1,1
2a663000-d01a-49a9-98b4-dd92d7f9f6cd,[ТД] Искра,ee41da0e-644b-4e24-9ccb-fce464063a3e,OTB-6VM,1,1
