Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

No Data

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

metric,value
4,Closed

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

No Data

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:35+03:00
[ТМ] Сибприбормаш

metric,value
10,Scan_File_f9710cf7-5200-40d4-bcb4-13476b3e4abd
10,Scan_Boot_Sectors_3d50409b-8c37-4987-9461-40a8e8881f20
10,Scan_Boot_Sectors_4dfb92a1-7f45-4fe6-8f97-e7f46a10742f
10,Scan_Boot_Sectors_9fdda042-08d4-46df-9579-cb6b862fc759
10,Scan_Boot_Sectors_ea2a246c-bb0a-4950-bd0b-0a2da5c02eb6
10,Scan_Boot_Sectors_0ce0d966-cea2-4914-8b60-d17bef2340fb
10,Scan_Boot_Sectors_fe3f23d0-80db-4064-ac10-7e08e39b0e97
10,Scan_Boot_Sectors_58dfd641-a317-4369-8110-9e87df6ea72f
10,Scan_Boot_Sectors_af1c5026-fb04-416e-b5c3-62a4dd1620ef
10,Scan_Boot_Sectors_496f0cdd-3d79-4586-b0d8-1b505c1c8db5
10,R081_02_KSC. Повторное заражение ВПО
9,Scan_Boot_Sectors_964cd895-5293-4a3e-8801-2953c3abf495
9,Scan_Boot_Sectors_b4cad5eb-2447-4e97-a8a8-eeb24f2420b4
9,Scan_Boot_Sectors_3c5de402-0b6a-4f27-8174-b25ae1b14b19
9,Scan_Boot_Sectors_14b31a33-e20a-4969-87ae-f91d1b078f61
9,Scan_Boot_Sectors_40db0806-1068-40c1-8b5b-91379f51a54c
9,Scan_Boot_Sectors_8163b858-35a6-4430-88e5-ee3a2aa11081
9,Scan_Boot_Sectors_7ffd2c41-a83d-460d-8f19-f6516818afe4
9,Scan_Boot_Sectors_d62feb66-8865-44c4-9cc6-59fa0a09831b
9,Scan_Boot_Sectors_96ff179e-a2e1-468c-95bc-bc82dbc2a44f
8,Scan_File_a7df2e0d-e9f2-47f2-8934-4ce124c0969a
8,Scan_File_a24be641-df6c-4689-81af-e35e5c1f9645
8,Резервное копирование данных Сервера администрирования
8,Scan_File_4e300ef6-13a1-453e-a32c-5ac398325803
8,Scan_File_21895563-e3d8-4e53-bd37-4aff2631aed4
8,Scan_File_a2b8d0a8-b194-466a-9971-f1b866366440
8,Scan_File_75c404a7-3cad-4e5e-9f2a-9d4cadb3c153
8,Scan_File_b15629f4-fbf3-420a-b124-87172f326fa7
7,Удаленная установка программы  на PDO-09
7,Удаленная установка программы на pditr02.spmbiysk.local
7,Удаленная установка программы на OMTC28
7,Удаленная установка программы на TC-052
7,Scan_File_4f1601d9-19ed-40e4-8a6f-fe6a66684004
7,Удаленная установка программына KAPSTROY05
7,Удаленная установка программы на CZL02
7,Удаленная установка программы на UR08
7,Удаленная установка программы на TC-050
7,Удаленная установка программы на TC-042
7,Удаленная установка программы на pditr04
7,Удаленная установка программы  на OGM08
7,Удаленная установка программы TC-045
7,Удаленная установка программы на FO-02
7,Удаленная установка программы на SBO06
7,Удаленная установка программы на TC-028
7,Scan_File_528d7844-722a-47f6-bcee-c0786e2d4f31
7,Удаленная установка программы на OF03~~589795
7,Creating Runspace object
7,Удаленная установка программы на PDO08
7,Удаленная установка программы на OMTC23
6,Scan_Boot_Sectors_f03fa140-2c6d-4e80-b616-c53602e4e8cb
6,Scan_File_153bd3f5-a599-4a90-95b7-27a8ae9400ba
6,Scan_File_9f287662-6d0b-426b-b08e-6a61a5eaed35
6,Scan_File_d5df832c-2aea-4167-aac2-06e4b888cf6a
6,Scan_File_ef4b4309-94ae-449d-be47-674c4958a6f4
6,Scan_File_bbed9e09-18f4-4ced-8036-2b2915a58a63
6,Scan_Boot_Sectors_70361000-8400-4e75-940c-41620e376a83
6,Scan_File_88dcaa91-cb8b-48c1-bef7-d5d59750e11e
6,Scan_File_2350641b-96b5-4c5c-9e3b-c0a129bc3977
6,Scan_Boot_Sectors_a17a7104-ecb1-47be-b9cc-565be9c4d3ee
6,Scan_File_6f94032d-df8f-4491-ad80-fb8acef104c2
6,Scan_File_682d08a7-6b39-4835-9760-4ce1a189fffb
6,Scan_File_9697b685-a9d2-48cd-9045-e04c9b9a4615
6,Scan_File_d2cc45d3-d881-444d-a624-04902c712583
6,Scan_File_c7051f3c-dd5d-4019-ad46-370cdd6e4439
6,Scan_File_2aaff21e-37ad-47ff-8614-80593de9a6bc
6,Scan_File_9de7ce2c-2f6b-4fa9-bf38-e83d0814a5e7
6,Scan_File_a9ddba99-2b82-4175-b044-b9448b6757e8
6,Scan_File_d8589f7a-ff95-4550-9b18-1ce9f7c6a8a8
6,Scan_File_0d87f922-577f-4d38-91fb-db8908b35708
6,Scan_File_92e2dcb9-8146-4af7-b104-1132502fd691
6,Scan_File_4ed01dea-916e-4555-b083-8ef5431eb7ca
6,Scan_File_60e42331-4883-4e38-81ef-fbdcc1c8a716
6,Scan_File_39c42ccd-5b58-46ee-aebf-e7d0ec01e91f
6,Scan_File_a0cd0154-59da-4270-8210-6a93c76920f8
6,Scan_File_1cfef079-41c3-42b9-b4aa-29336907d645
6,Scan_File_dae60a02-d1b5-461c-a6ae-db71abf4af8e
6,Scan_File_a4f448dd-5ddf-459f-888f-9696e68e35f3
6,Scan_File_448521c1-c859-46e5-b516-ed04654e8e70
6,Обслуживание Сервера администрирования
6,Scan_File_0a740f3f-cad8-4537-ad1f-890326a767d3
6,Scan_File_105ffb3f-e0ff-49c9-a626-e37712fdd830
6,Scan_Boot_Sectors_d6101d5f-c33e-455a-9e33-8b3df87122a5
6,Scan_Boot_Sectors_0c3f643e-fec2-4771-837c-5f6a640c1707
6,Scan_File_2c5567c6-8eff-490e-96bc-4913387caa22
6,Scan_File_5bd46e65-8dc7-4c61-b6e5-aff83554a7c0
6,Scan_File_8706540a-230b-49bf-8d4c-33ead697bc31
6,Scan_File_f88d1b8f-920d-4cba-9131-4840ef2ac5c0
6,Scan_File_75c89055-cb58-4dd0-9c50-34d8b45f27bc
6,Scan_File_8e163209-6cc0-41f0-a870-0175878678af
6,Nmap SIP scan
6,Scan_File_fc3a91b1-579a-417b-9553-5c4ac261c949
6,Scan_File_dc86f0ef-41f2-49c1-a5e2-6a3d25475795
5,Scan_Boot_Sectors_50a6c3fc-92de-4b31-a3f4-205d5b27ac0d
5,Scan_Boot_Sectors_a4a80e6f-96ab-410e-8e76-196b121d1a9f
5,Scan_Boot_Sectors_67449595-b5fb-4653-89a9-cd5ce826453e
5,Scan_Boot_Sectors_12689302-d3f0-4eb0-a5af-304a3d35504e
